month,snb_target_lower,snb_target_upper,libor_3m_chf,snb_policy_rate,confederation_5y,confederation_8y,confederation_10y,confederation_bonds,cantons,mortgage_bond_institutions,commercial_banks,other_banks,AAA,AA,A,workers_short_time,registered_unemployed_total,registered_unemployed_sa,jobless_rate_total,jobless_rate_sa,job_vacancies_total,job_vacancies_sa,registered_job_seekers,labour_force,snb_core_inflation_trimmed_mean1,sfso_core_inflation_12,sfso_core_inflation_23,sfso_inflation_according_to_the_national_consumer_price_index,apartments_fso,apartments_fahrländer,apartments_iazi,apartments_wuest_asking,apartments_wuest_transaction,houses_fso,houses_fahrländer,houses_iazi,houses_wuest_asking,houses_wuest_transaction,apartment_buildings_fahrländer,apartment_buildings_iazi,apartment_buildings_wuest_transaction,single_family_houses_wuest_asking,commercial_office_wuest_asking,commercial_retail_wuest_asking,commercial_industrial_wuest_asking,agriculture_forestry_fishing,mining_quarrying,manufacturing_total,manufacturing_chemicals_pharmaceuticals,manufacturing_other,electricity_gas_steam,water_waste,construction,trade_total,retail_trade,transportation_storage,accommodation_food,information_communication,financial_insurance_total,financial_activities,insurance_activities,real_estate_professional_technical,public_administration,education,health_social_work,arts_entertainment_recreation,other_service_activities,households_as_employers,taxes_products,subsidies_products,gdp
2014-07-01,0,0.25,0.012608695652173913,NA,0.08986956521739131,0.44278260869565217,0.6637391304347826,0.44278260869565217,0.7243478260869565,0.7558695652173913,0.838304347826087,1.1799130434782608,0.694391304347826,0.7779565217391304,1.2574782608695652,1355,127054,135751.508466645,2.8276643471127465,3.02123270859561,13240,12746.2564740203,180822,4493249,0.36664,0.1,0.4,0,NA,208.94737303710315,177.94970986460348,179.67654980752567,188.495474201074,NA,169.20199678146196,163.3197516492045,156.39782861920085,156.274607499479,124.29650204667215,128.29457364341084,125.14462946261628,151.7144738974208,126.30186810746686,108.12633126439317,120.21245690944207,1357.10825416231,188.555774839793,28768.9020043443,6568.9209338047,23054.745739956,2898.59394769061,508.754147172309,8244.81712907098,25473.6990970964,6269.01484243345,6727.01716604541,3443.14714194871,7255.33340300026,13686.9499269364,6900.39198943344,4892.74008031135,29258.7646323904,10967.6885223829,7322.92966915611,11167.7269615209,1596.78798246954,2290.71095082065,544.055149497742,8500.95117336965,-3490.0224943018,166137.261356355
2014-08-01,0,0.25,0.0209,NA,0.08035,0.37045,0.5518500000000001,0.37045,0.6036,0.65095,0.7359,1.10245,0.59395,0.66895,1.17355,1311,128434,134842.168215457,2.8583770897183753,3.000994786077,11113,11050.9726495851,179880,4493249,0.318731,0,0.5,0.1,NA,208.92224396569728,178.20355067299903,179.55870838079153,188.9113342921357,NA,169.07293336141296,163.29033169678257,156.61158813202593,157.3584997391038,124.46175047565133,128.21518732197967,124.90874284981965,152.25731219586814,126.55227204347122,109.30755862462625,120.74149209964398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-01,0,0.25,0.008272727272727272,NA,0.0720909090909091,0.3931818181818182,0.5861363636363637,0.3931818181818182,0.5873636363636363,0.6290454545454546,0.7055,1.1011363636363636,0.5765454545454545,0.6434545454545455,1.1687272727272728,2082,129965,136605.380970716,2.8924504295221567,3.04023616253442,11045,10514.2905400726,183113,4493249,0.286725,0,0.4,-0.1,NA,208.89711489429138,178.45739148139458,179.4408669540574,189.32719438319742,NA,168.94386994136397,163.26091174436064,156.82534764485104,158.44239197872855,124.62699890463051,128.1358010005485,124.67285623702301,152.8001504943155,126.80267597947558,110.48878598485933,121.27052728984587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-01,0,0.25,0.00826086956521739,NA,0.0782608695652174,0.37078260869565216,0.547695652173913,0.37078260869565216,0.5380434782608696,0.5831304347826086,0.6921739130434782,1.1522173913043479,0.5574782608695652,0.6167826086956522,1.1126521739130435,2619,132397,136781.642769422,2.946576074461932,3.04415897648721,11076,11342.1971272004,187715,4493249,0.35445,0.1,0.5,0,NA,208.87279643809214,178.70304387661608,179.32682686366954,189.729639632612,NA,168.8189698574456,163.232440822662,157.03221168952047,159.491319952559,124.7869167391265,128.05897552819576,124.44457886980047,153.3254778799097,127.04500236915722,111.63190923669781,121.78249682875095,1328.3626807159,177.435137407527,28846.2088621037,6787.68154263596,22836.7726371307,3073.93660606187,524.427058818393,8177.75279515134,26039.3812267986,6303.29757325324,6626.28555057801,3423.21667099502,7181.01453244323,13891.5638285784,7041.47712494184,4947.59222389074,29364.1876762208,11055.9137632317,7364.31043492162,11350.5026019775,1460.81793042137,2280.25470663688,548.547110123696,8574.54078165785,-3517.42579725061,167290.669722024
2014-11-01,0,0.25,0.0055000000000000005,NA,0.01925,0.31829999999999997,0.4889,0.31829999999999997,0.46785,0.52705,0.6309,1.1121,0.54295,0.54395,0.9979,3124,136552,136433.793284194,3.0390481364375757,3.03641737380221,10545,11688.1789203556,193892,4493249,0.212744,0.2,0.5,-0.1,NA,208.67899341028345,178.7544980945341,179.80708958642828,190.50958564888737,NA,169.2260856776028,163.53317811408616,157.60529440327358,159.89707316925933,126.86898774570516,128.04873213188205,125.4709543201387,153.50415734974027,127.51346087979452,111.89166193642473,121.53208695466053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01,-0.3260869565217391,0.25,-0.01971428571428572,NA,-0.035631578947368424,0.22278947368421054,0.3663157894736842,0.22278947368421054,0.34289473684210525,0.4053684210526316,0.5166842105263157,0.9860526315789474,0.41878947368421054,0.41878947368421054,0.8432105263157895,2539,147369,137893.58591881,3.279787076122423,3.06890595021131,8791,10722.9031250014,203926,4493249,0.290705,0.4,0.6,-0.3,NA,208.49144209304924,178.80429249897088,180.27185996329155,191.26437211625063,NA,169.62006872936786,163.8242142025611,158.15989057787337,160.28973757251768,128.88389517142645,128.03881916770752,126.46422088498215,153.67707296570532,127.96680782557257,112.14303551680561,121.289754818444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01,-1.0227272727272727,-0.022727272727272735,-0.4659047619047619,NA,-0.44755,-0.1297,0.029549999999999993,-0.1297,0.015299999999999996,0.07275000000000001,0.1868,0.65215,0.038599999999999995,0.07419999999999999,0.48235,3129,150946,137099.36375923,3.359395395180637,3.05123005111068,9672,10239.281888145,206138,4493249,0.32089,0.4,0.5,-0.5,NA,208.29763906524056,178.85574671688892,180.75212268605028,192.044318132526,NA,170.0271845495251,164.12495149398526,158.73297329162648,160.695490789218,130.9659661780051,128.0285757713938,127.49059633532039,153.8557524355359,128.43526633620988,112.40278821653253,121.03934494435357,1244.78104925146,162.585686606799,28410.1825188893,7046.28398804628,22009.014051834,3013.20662428168,562.000835888753,8194.88153432899,26587.4081390061,6278.42573148797,6592.00433384822,3357.97735551762,7177.37015842294,14026.5424569333,7096.54732189029,5036.87823177254,29406.6203896367,11073.9053717319,7326.44250419391,11270.0414229106,1314.04150100203,2281.00777959569,551.292022858601,8591.34159155069,-3554.33798625772,167214.097936368
2015-02-01,-1.25,-0.25,-0.8888,NA,-0.55075,-0.1844,-0.005099999999999999,-0.1844,0.06275,0.11325,0.22945,0.67075,0.0655,0.09210000000000002,0.4859,5341,149921,138723.657114502,3.3365833943322527,3.08737969149945,10289,9878.19626379732,206369,4493249,0.091918,0.2,0.2,-0.8,NA,208.4285118550271,179.03457870983067,181.08700187363775,191.40152450497936,NA,171.36403820092187,164.36888285258485,158.9480412495317,160.80574305650967,131.30421718397616,127.95266082315783,128.51477701277528,153.94604824446395,128.7309245478123,111.5521248077815,121.19257928925562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-01,-1.25,-0.25,-0.8022727272727272,NA,-0.47745454545454546,-0.19140909090909092,-0.03922727272727273,-0.19140909090909092,0.09077272727272727,0.152,0.2802727272727273,0.7003181818181818,0.17163636363636364,0.15595454545454546,0.5792727272727273,8337,145108,140176.739873098,3.2294671405924755,3.11971893552078,10191,9429.79528511197,204266,4493249,-0.128982,-0.1,-0.1,-0.9,NA,208.54671953612464,179.1961043808748,181.38947339791025,190.82093671235663,NA,172.5715189183125,164.58920795067476,159.14229617925255,160.90532574954733,131.60973422162743,127.88409248281567,129.43984343112166,154.02760574930224,128.9979706744209,110.78378366439347,121.33098450400587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-01,-1.25,-0.25,-0.81205,NA,-0.5164,-0.24105,-0.105,-0.24105,0.009800000000000001,0.0736,0.2066,0.5676,0.0866,0.0815,0.4433,8201,141131,140229.6737766,3.1409565773007464,3.1208970118638,10216,9857.37697352235,199346,4493249,-0.263551,-0.3,-0.4,-1.1,NA,208.67759232591118,179.37493637381655,181.7243525854977,190.17814308481,NA,173.9083725697093,164.83313930927434,159.3573641371578,161.015578016839,131.9479852275985,127.8081775345797,130.46402410857655,154.1179015582303,129.29362888602333,109.93312025564244,121.48421884890791,1201.91439724231,154.507545563185,28293.1754467669,7228.2170488193,21631.5998238036,2987.00407403633,579.223668921978,8071.07551034249,27150.3347429601,6329.82996137198,6499.00049250289,3310.80649210091,7211.99163023641,14011.7731552674,6988.58222966154,5097.17978852507,29425.6694778998,11125.7164672062,7343.82855762595,11280.1478094086,1263.10023748148,2282.91803315919,554.838919751864,8623.33415254713,-3593.37168457519,167493.93301796
