year,snb_target_lower,snb_target_upper,libor_3m_chf,snb_policy_rate,confederation_5y,confederation_8y,confederation_10y,confederation_bonds,cantons,mortgage_bond_institutions,commercial_banks,other_banks,AAA,AA,A,workers_short_time,registered_unemployed_total,registered_unemployed_sa,jobless_rate_total,jobless_rate_sa,job_vacancies_total,job_vacancies_sa,registered_job_seekers,labour_force,snb_core_inflation_trimmed_mean1,sfso_core_inflation_12,sfso_core_inflation_23,sfso_inflation_according_to_the_national_consumer_price_index,apartments_fso,apartments_fahrländer,apartments_iazi,apartments_wuest_asking,apartments_wuest_transaction,houses_fso,houses_fahrländer,houses_iazi,houses_wuest_asking,houses_wuest_transaction,apartment_buildings_fahrländer,apartment_buildings_iazi,apartment_buildings_wuest_transaction,single_family_houses_wuest_asking,commercial_office_wuest_asking,commercial_retail_wuest_asking,commercial_industrial_wuest_asking,agriculture_forestry_fishing,mining_quarrying,manufacturing_total,manufacturing_chemicals_pharmaceuticals,manufacturing_other,electricity_gas_steam,water_waste,construction,trade_total,retail_trade,transportation_storage,accommodation_food,information_communication,financial_insurance_total,financial_activities,insurance_activities,real_estate_professional_technical,public_administration,education,health_social_work,arts_entertainment_recreation,other_service_activities,households_as_employers,taxes_products,subsidies_products,gdp
2000,2.558614091222787,3.558614091222787,3.0777084314468373,NA,3.5997620669207055,3.7680415836335457,3.880655967130166,3.7680415836335457,3.75,4.091002777777778,3.906,4.149,3.631,3.802,3.962,1302.0833333333335,71987.33333333333,70471.61021552481,1.823854882085614,1.7854528621704655,13516,17309.537628987626,124632.5,3946988,1.0210735,NA,NA,1.55,NA,101.16748530899157,105.5101012559993,102.06403797534186,97.7846042915253,NA,100.83828413727271,102.37743912612315,102.2003166409328,101.06079226255272,NA,86.96923419781723,NA,100.89984712723363,104.43127591371814,101.391883100828,100.87078524858464,1278.6091414795949,198.235126896875,20024.56041451075,2427.3034558002473,19848.24389892875,4215.466667551873,396.8537273937733,6947.7111160588975,16196.1033459431,4542.9437498600055,5979.46805329298,3911.6782794945498,5391.274413613837,11013.613036955776,6350.0280003187745,3202.9091469013,24733.671001437,9234.640183995154,6548.802496932502,7241.982041743025,901.7549177950027,1964.5191466813676,442.19987949519975,6700.86280943991,-2509.5705587094,128088.22197006174
2001,2.4929743867243865,3.4929743867243865,2.9400987328900863,NA,3.0251746396065533,3.2283257695020313,3.3666253110955915,3.2283257695020313,3.544897287729321,3.560115783935445,3.6470963814247703,4.053489284883914,3.535894972376302,3.6821850575078514,3.834718300653595,3621.5,67197,65779.81282239045,1.7024880744506952,1.6665825389484452,12417.25,15900.69848715695,109422.83333333333,3946988,1.5408375,1.5,1.6625,1.0083333333333333,NA,102.94673906856926,106.17968845669805,106.16345332028156,99.082137543665,NA,102.42425440949664,106.45457763211914,103.92998567379136,101.6076719735784,NA,82.23057114093811,NA,102.54971493519463,107.72900447065852,99.59373259009229,100.26383031102196,1178.74726141292,199.289228861185,21210.6856893797,2796.2567708657552,20570.724870983075,4280.873509867875,402.5637450340545,6910.317430221935,16713.1026822893,4779.882402897245,5983.242345918295,3991.4062987657253,5692.726050445668,10235.08804581395,5550.86330412204,3278.754962811875,25621.53196388625,9417.084626384278,6586.241163512693,7686.939614789125,963.3907063401034,2009.5632072728274,450.2220641286202,6695.346164373183,-2689.80639256395,130415.91473409449
2002,0.7028985507246377,1.7028985507246377,1.1691009052795032,NA,2.5754059437543133,3.0095036174373133,3.220006395215091,3.0095036174373133,3.276600595238095,3.2637325856912813,3.393709630204739,3.967793530020704,3.3200727541982977,3.608125,3.898024439268461,12446.333333333332,100504.08333333333,98404.12193464003,2.546348844570425,2.4931446950089544,9271.583333333334,12971.279190644374,149608.83333333334,3946988,1.0381821666666666,1.0333333333333334,1.0583333333333333,0.6333333333333333,NA,104.95351069615002,106.93321611361681,114.59405370037557,99.9822619658864,NA,102.05896978286432,103.93395203106635,108.62316988139175,101.36066844101289,NA,79.97610149553584,NA,106.3543952441143,109.7783918486194,101.40639116843737,104.83059003267921,1210.7232248448875,197.17086603280424,21743.22755047635,3209.7571034040375,20410.66471767145,3645.7484840779,409.3488001694043,7224.579684187175,17210.0848191009,4788.15672899239,6107.017133946707,3800.6041308272,5797.88734805441,9867.260401189582,5293.98772957438,3190.71217581695,24524.356934631825,9490.564628199152,6853.08519650661,7947.112666382427,1046.7588938412325,2111.26879970738,452.360109025245,6694.0263310349055,-2852.086531709975,130636.26859467625
2003,0.04464285714285714,0.8392857142857143,0.3330096314778217,NA,1.723821047059348,2.334798565872851,2.6320290323139868,2.334798565872851,2.5421617325593298,2.5353600903609483,2.621092240895387,2.909348863801467,2.6321495246267843,2.8411541672858034,3.1130637501196996,12566.916666666668,145687,142606.42527252613,3.69109305627481,3.613044308027441,8326.583333333334,12155.74935317841,206491.41666666666,3946988,0.68481175,0.6083333333333333,0.5,0.625,NA,109.27348392501574,108.79367338116546,121.16289577814241,103.226477801432,NA,104.21940837985788,105.08130381355694,111.78900781334167,103.12539524374314,NA,80.53798758015732,NA,109.65830966275131,109.08386039504538,105.08837353145896,105.81386398401078,1030.0769168370625,186.997658922036,21676.148655214525,3358.522999201875,20043.048415747777,3382.13002268505,408.0302581089235,7357.335642194952,17609.210246225975,4880.802281813485,6179.348304971948,3476.1423961070527,5521.171161568995,10299.948780278814,5461.199112116377,3524.8960737695497,23688.870919756926,9623.548485875552,6881.211296606535,8098.909662137075,1107.9433114067824,2088.55634480583,451.9906992957625,6772.225019727498,-2939.2118871032276,130459.07371526875
2004,0.07291666666666667,0.9573863636363636,0.46788479720381326,NA,1.9370984751073996,2.480751220524962,2.7332676652930084,2.480751220524962,2.574409033494474,2.5775288004266264,2.609328591694982,2.9106015611327396,2.6019777146258267,2.6794102304096867,2.777136131501349,5283.833333333334,153091.33333333334,153113.0366274716,3.8786875798288047,3.8792374496064226,8975.416666666666,8890.241656490789,220507.58333333334,3946988,0.77670725,0.775,0.6833333333333333,0.8,NA,114.19277924396269,109.78869467841666,124.30135486371533,108.90413744465985,NA,104.42597392348425,106.62584252838656,114.32244946228755,107.01106569129296,NA,82.78220694524298,NA,113.49036105636745,109.57455873731234,104.83459560008423,108.58790848402717,1213.45295268859,194.36448472260798,22059.272887753876,3607.727861768185,20034.1225306844,3071.4399637396,430.704792340034,7241.129555270288,18491.989940626725,4857.4560429368,6347.175432816108,3328.8653453712,5628.062949538627,10806.867458841625,5879.221923312527,3524.8360119181752,23951.2727586314,9738.910412354453,7001.230863322442,8261.74773394315,1142.3329218588474,2121.2037055201827,457.2911589063425,7038.011764003122,-2950.9648627473525,133514.03746122174
2005,0.26136363636363635,1.2613636363636365,0.797691961038961,NA,1.6176730339105339,1.947525901875902,2.1078405303030303,1.947525901875902,2.0746213924963923,2.0682137265512264,2.1321876443001444,2.465619715007215,2.139093668831169,2.206451911976912,2.369529292929293,3266.5,148537.25,148604.62502330958,3.7633063490438787,3.7650133474768506,8802.083333333334,8830.222404883052,217153.75,3946988,0.780214,0.475,0.30833333333333335,1.175,NA,119.16632741847168,111.13711792937899,127.02144501251136,114.31143849784497,NA,109.20360208610448,107.4339773385523,115.65141678545197,111.10634404757478,NA,86.92745747889089,83.84736985101739,117.74488113682582,110.06534120085315,105.00924143212616,105.61707105864049,1169.29261948485,200.9027819769145,23154.0935150562,3882.8198779150325,20846.673073887,3236.1263771507474,472.97449186143126,7422.843258835707,19126.3217042406,4968.343437526915,6379.888116632777,3368.9821787427727,5870.366308220353,11355.467594786574,6296.5429749777395,3621.4470128104776,24557.4976171239,9778.361178739922,7083.405175693042,8349.593143354472,1232.377726692455,2137.057581523845,466.320687450605,7204.976276815125,-2960.630209642425,137750.6767661465
2006,0.9210427253905514,1.9210427253905515,1.5096628588706615,NA,2.275465559732665,2.4338628439511165,2.500959875947004,2.4338628439511165,2.55196070414563,2.5543260269690475,2.5885347753166403,2.795302725687737,2.617737045388504,2.715745084177836,2.862118455765567,1262.5,131532.33333333334,131416.62879479132,3.332473606034103,3.329542141876066,11225.833333333334,11259.945991281404,197413.91666666666,3946988,0.951502,0.31666666666666665,0.29166666666666663,1.075,NA,126.67654372489682,116.67885707456766,128.79568920464473,122.64915585735766,NA,114.53185290518238,112.28063330577629,118.54220524322878,118.1724635930282,NA,90.3943239468577,88.26671567347582,121.52131324060666,110.63934580636686,106.79413710427035,107.77614408636711,1118.70165342675,192.45618217825125,24707.520992271824,4332.067914408693,21893.98613666405,3402.136069179175,492.80074398239725,7259.665234634565,20320.531730305825,5044.075679645615,6559.747780143785,3453.6566058188027,6092.6357868476725,12154.619670693175,6739.747915332493,3717.7237952389523,25029.01862277125,9880.579348885622,7024.066639738276,8430.15947254915,1277.4622406656274,2186.1602371140552,471.9930038247375,7525.2302356632,-2931.4659240126753,143258.9134115275
2007,1.9107683982683983,2.9107683982683983,2.545297130639098,NA,2.701639732138608,2.8505421189958544,2.911864464739505,2.8505421189958544,2.971644787497205,2.982251133758406,3.026166393459818,3.207843864228307,3.0788234801090537,3.2270468587816517,3.3276795057253885,740.0833333333333,109188.75,109014.51842194992,2.7663816054165857,2.761967313352609,13235.916666666666,13262.892572590641,167659.16666666666,3946988,0.96578525,0.5916666666666667,0.7666666666666666,0.7333333333333334,NA,134.76037950618982,126.65889136262571,132.07966529566363,131.91535512692303,NA,121.45526107632935,120.26216622237969,120.7801649625702,124.5272772311483,NA,92.0860057032587,95.24976207907463,124.65245714688652,110.37269548788521,109.84845065109727,108.25644712917581,1195.4869913979226,193.0469159055225,26018.528836204925,4660.996606493098,22876.190050917274,3563.2462995349274,468.56032201074623,7079.463327408932,21546.429578530475,5212.886549750272,6733.430661661915,3596.39132086235,6167.317929123525,13105.44633691175,7385.725480604733,3782.1162843050774,25796.287095566524,10088.67863199535,7069.510155620095,8726.27251508005,1328.2275365612625,2224.48367781699,491.446248075425,7797.462968633425,-2870.084369790922,149277.42304448952
2008,1.9752717391304349,2.975271739130435,2.5772949099952616,NA,2.436649909771134,2.787666861240717,2.9248045201112136,2.787666861240717,3.013755095536932,3.081128778674288,3.1505857587810104,3.56792238167058,3.5957303254843302,3.9989657709408566,4.432981950924742,2084.166666666667,101725.08333333333,101626.82619256139,2.5772838258776902,2.5747944050643543,13961.833333333334,13888.469565473359,154437.75,3946988,1.78256725,1.1666666666666667,1.425,2.433333333333333,NA,141.75192332646603,135.21637328541266,137.78057800795762,138.01325766776483,NA,126.38294912390269,130.80951793457172,124.4673563574395,129.35178805591983,NA,92.777324810387,92.69110942043332,130.00316209236405,111.06769407695226,109.50043433248537,107.93528592185464,1195.4784822157976,190.56336663938825,26883.619484888626,4861.82355387791,23554.9390170632,3722.1005516197724,416.97329792682547,7164.737094491355,22457.20488498755,5414.295595857968,6564.70049558105,3736.19115319075,6464.636795450087,12596.214797696275,6590.626240381357,4173.004313243975,26991.96322950475,10220.083917992,7032.746225835885,9206.494970413103,1327.41661187826,2288.265363359265,527.6811914739798,7966.4497394457,-2968.17816757045,152643.39605759425
2009,0,0.7992424242424242,0.37539150287733497,NA,1.3935635791141225,1.9798185069475402,2.2193837540161336,1.9798185069475402,2.2992985035876914,2.321562916513946,2.411916221837532,3.078619557581371,3.1308191175402276,3.251889732070625,4.843741449886244,67390.5,146088.91666666666,146654.80627541276,3.7012759265208475,3.71561317833783,12872.916666666666,12890.3286883573,204069.83333333334,3946988,1.1800296666666668,0.8,0.8916666666666667,-0.48333333333333334,NA,148.21758801619262,136.73738947486453,146.69643272086913,142.64844012622729,NA,131.41587883972218,129.67947717545962,130.71097658030175,129.61986872178394,NA,98.42288870384688,97.6303735340596,134.5432263387525,115.80058066642046,101.84246099929766,112.29131595924605,1258.14031454198,174.37945297752626,23730.81597149145,4712.279537471422,20072.0072273603,3422.15063869965,578.2971062479018,7281.773521982663,23592.490339108,5535.536399223465,6150.76333897605,3500.0028800393975,6594.924150128997,12216.786727955276,6181.34777032831,4385.165628675825,26658.809098600024,10417.211847059074,6984.789644262293,9505.767461621705,1441.7707350251849,2278.390426809645,522.6961902748875,7992.1492179307925,-3137.3835044946727,149961.60033803576
