property_id,ticker,company,report_date,address,city,report_property,target_rental_income_tchf,vacancy_rate_pct,ownership_status,year_construction,year_renovation,site_area_m2,commercial_area_m2,retail_pct,office_pct,hotel_gastronomy_pct,assisted_living_pct,storage_pct,other_pct,source_pdf_page,full_address,simplified_address,simplified_full_address,latitude,longitude,second_pass_address.x,second_pass_full_address.x,second_pass_address.y,second_pass_full_address.y,manual_geocode_address
SPSN_040,SPSN,Swiss Prime Site AG,2025-12-31,Route des Jeunes 12,Grand-Lancy,"Grand-Lancy, Route des Jeunes 12",2029,7.1,sole ownership land lease,2003,NA,5344,12665,0.2,40.6,45.1,NA,14.1,NA,3,"Route des Jeunes 12, Grand-Lancy, Switzerland",Route des Jeunes 12,"Route des Jeunes 12, Grand-Lancy, Switzerland",46.1792027,6.1270456,NA,NA,NA,NA,NA
SPSN_041,SPSN,Swiss Prime Site AG,2025-12-31,Gurnigelstrasse 38,Heimberg,"Heimberg, Gurnigelstrasse 38",581,0.1,sole sole ownership land ownership lease,2000,NA,7484,1572,82.1,2.8,NA,NA,8.6,6.5,3,"Gurnigelstrasse 38, Heimberg, Switzerland",Gurnigelstrasse 38,"Gurnigelstrasse 38, Heimberg, Switzerland",46.7811434,7.6040202,NA,NA,NA,NA,NA
SPSN_042,SPSN,Swiss Prime Site AG,2025-12-31,"Esplanade de Pont-Rouge 5, 7, 9/Alto Pont-Rouge",Lancy,"Lancy, Esplanade de Pont-Rouge 5, 7, 9/Alto Pont-Rouge",15336,34.1,co-ownership with 14/100,2024,NA,5170,31783,10.9,78.9,NA,NA,10.2,NA,3,"Esplanade de Pont-Rouge 5, 7, 9/Alto Pont-Rouge, Lancy, Switzerland","Esplanade de Pont-Rouge 5, 7, 9","Esplanade de Pont-Rouge 5, 7, 9, Lancy, Switzerland",46.1863736,6.1270061,Esplanade de Pont-Rouge 5,"Esplanade de Pont-Rouge 5, Lancy, Switzerland",Esplanade de Pont-Rouge 5,"Esplanade de Pont-Rouge 5, Lancy, Switzerland",NA
SPSN_043,SPSN,Swiss Prime Site AG,2025-12-31,Rue de Sébeillon 9/Sébeillon Centre,Lausanne,"Lausanne, Rue de Sébeillon 9/Sébeillon Centre",1094,0.4,sole ownership,1930,2001,2923,10113,8.4,54.1,NA,NA,36.1,1.4,3,"Rue de Sébeillon 9/Sébeillon Centre, Lausanne, Switzerland",Rue de Sébeillon 9,"Rue de Sébeillon 9, Lausanne, Switzerland",46.5233176,6.6158781,NA,NA,NA,NA,NA
SPSN_044,SPSN,Swiss Prime Site AG,2025-12-31,Rue du Pont 51,Lausanne,"Lausanne, Rue du Pont 51",7146,0.1,sole ownership,1910,2004,3884,20805,50.5,23.3,9.2,NA,15.3,1.7,3,"Rue du Pont 51, Lausanne, Switzerland",Rue du Pont 51,"Rue du Pont 51, Lausanne, Switzerland",46.5212745,6.6333323,NA,NA,NA,NA,NA
SPSN_045,SPSN,Swiss Prime Site AG,2025-12-31,Route de l'Ancienne Ciblerie 2,Lutry,"Lutry, Route de l'Ancienne Ciblerie 2",1361,NA,freehold property,2006,NA,13150,3271,69.4,7.6,2.1,NA,18.1,2.8,3,"Route de l'Ancienne Ciblerie 2, Lutry, Switzerland",Route de l'Ancienne Ciblerie 2,"Route de l'Ancienne Ciblerie 2, Lutry, Switzerland",46.5058318,6.688538,NA,NA,NA,NA,NA
SPSN_046,SPSN,Swiss Prime Site AG,2025-12-31,Kreuzbuchstrasse 33/35,Luzern,"Lucerne, Kreuzbuchstrasse 33/35",2003,NA,sole ownership land lease,2010,NA,14402,10533,NA,NA,NA,100,NA,NA,3,"Kreuzbuchstrasse 33/35, Luzern, Switzerland",Kreuzbuchstrasse 33/35,"Kreuzbuchstrasse 33/35, Luzern, Switzerland",47.0543487,8.3415482,NA,NA,NA,NA,NA
SPSN_047,SPSN,Swiss Prime Site AG,2025-12-31,Langensandstrasse 23/Schönbühl,Luzern,"Lucerne, Langensandstrasse 23/Schönbühl",2981,5.5,sole ownership,1969,2007,20150,9433,65.3,10.8,1.9,NA,21.5,0.5,3,"Langensandstrasse 23/Schönbühl, Luzern, Switzerland",Langensandstrasse 23,"Langensandstrasse 23, Luzern, Switzerland",47.0371524,8.3283169,NA,NA,NA,NA,NA
SPSN_048,SPSN,Swiss Prime Site AG,2025-12-31,Pilatusstrasse 4/Flora,Luzern,"Lucerne, Pilatusstrasse 4/Flora",3839,NA,freehold property,1979,2008,4376,9906,69.6,12.1,NA,NA,15,3.3,3,"Pilatusstrasse 4/Flora, Luzern, Switzerland",Pilatusstrasse 4,"Pilatusstrasse 4, Luzern, Switzerland",47.0750725,8.2826508,NA,NA,NA,NA,NA
SPSN_049,SPSN,Swiss Prime Site AG,2025-12-31,Schwanenplatz 3,Luzern,"Lucerne, Schwanenplatz 3",793,NA,sole ownership,1958,2004,250,1512,10.8,62.6,NA,NA,18.7,7.9,3,"Schwanenplatz 3, Luzern, Switzerland",Schwanenplatz 3,"Schwanenplatz 3, Luzern, Switzerland",47.0533514,8.3086325,NA,NA,NA,NA,NA
