property_id,ticker,company,property_type,report_date,location,address,report_property,raw_line,ownership_status,year_acquired,year_construction,property_text,floor_space_m2,apartments_1_1_5,apartments_2_2_5,apartments_3_3_5,apartments_4_4_5,apartments_5plus,total_apartments,other_uses_m2,target_rental_income_chf_m,vacancy_rate_pct,discount_cap_rate,site_area_m2,office_pct,retail_pct,residential_pct,other_pct,city,simplified_address,simplified_full_address,latitude,longitude,second_pass_address
ALLN_C_009,ALLN,Allreal Holding AG,Commercial,2025-12-31,Zurich,Hardstrasse 319 (Escher-Wyss-Areal),"Zurich, Hardstrasse 319 (Escher-Wyss-Areal)",Zurich Hardstrasse 319 (Escher-Wyss-Areal) SO 2002 1945/2010 2019/2021 PR 38 362 yes 47 882 31.9 1.8 0.0 66.2 8.9 0.0 4.83/3.79,SO,2002,1945/2010,Zurich Hardstrasse 319 (Escher-Wyss-Areal),47882,NA,NA,NA,NA,NA,NA,NA,8.9,0,4.83/3.79,38362,31.9,1.8,0,66.2,Zurich,Hardstrasse 319,"Hardstrasse 319, Zurich, Switzerland",47.3904105,8.5215072,NA
ALLN_C_010,ALLN,Allreal Holding AG,Commercial,2025-12-31,Zurich,Herostrasse 12,"Zurich, Herostrasse 12",Zurich Herostrasse 12 SO 2002 2014 4 027 no Minergie 11 287 95.5 0.0 0.0 4.5 3.9 0.0 3.88/2.85,SO,2002,2014,Zurich Herostrasse 12,11287,NA,NA,NA,NA,NA,NA,NA,3.9,0,3.88/2.85,4027,95.5,0,0,4.5,Zurich,Herostrasse 12,"Herostrasse 12, Zurich, Switzerland",47.3939824,8.4859776,NA
ALLN_C_011,ALLN,Allreal Holding AG,Commercial,2025-12-31,Zurich,Hohlstrasse 600,"Zurich, Hohlstrasse 600",Zurich Hohlstrasse 600 SO 2001 1986 2006/2012 TR 2 894 no 10 302 70.1 4.7 0.0 25.2 4.2 1.2 3.93/2.90,SO,2001,1986,Zurich Hohlstrasse 600,10302,NA,NA,NA,NA,NA,NA,NA,4.2,1.2,3.93/2.90,2894,70.1,4.7,0,25.2,Zurich,Hohlstrasse 600,"Hohlstrasse 600, Zurich, Switzerland",47.3914824,8.4874575,NA
ALLN_C_012,ALLN,Allreal Holding AG,Commercial,2025-12-31,Zurich,Kalchbühlstrasse 22/24,"Zurich, Kalchbühlstrasse 22/24",Zurich Kalchbühlstrasse 22/24 SO 2000 1976 2014/2015 TR 3 101 no 4 791 72.4 0.0 7.8 19.8 1.4 0.1 4.23/3.20,SO,2000,1976,Zurich Kalchbühlstrasse 22/24,4791,NA,NA,NA,NA,NA,NA,NA,1.4,0.1,4.23/3.20,3101,72.4,0,7.8,19.8,Zurich,Kalchbühlstrasse 22,"Kalchbühlstrasse 22, Zurich, Switzerland",47.3402278,8.5312592,NA
ALLN_C_013,ALLN,Allreal Holding AG,Commercial,2025-12-31,Zurich,Kreuzstrasse 5,"Zurich, Kreuzstrasse 5",Zurich Kreuzstrasse 5 LO 2004 2006 2 279 no 1 628 95.7 0.0 0.0 4.3 1.1 0.0 3.68/2.65,LO,2004,2006,Zurich Kreuzstrasse 5,1628,NA,NA,NA,NA,NA,NA,NA,1.1,0,3.68/2.65,2279,95.7,0,0,4.3,Zurich,Kreuzstrasse 5,"Kreuzstrasse 5, Zurich, Switzerland",47.3627649,8.5479123,NA
ALLN_C_014,ALLN,Allreal Holding AG,Commercial,2025-12-31,Zurich,Schiffbaustrasse 2,"Zurich, Schiffbaustrasse 2",Zurich Schiffbaustrasse 2 SO 2002 2017 7 610 yes Minergie 13 171 81.5 5.7 0.0 12.8 5.1 0.0 3.93/2.90,SO,2002,2017,Zurich Schiffbaustrasse 2,13171,NA,NA,NA,NA,NA,NA,NA,5.1,0,3.93/2.90,7610,81.5,5.7,0,12.8,Zurich,Schiffbaustrasse 2,"Schiffbaustrasse 2, Zurich, Switzerland",47.3890738,8.5199092,NA
ALLN_C_015,ALLN,Allreal Holding AG,Commercial,2025-12-31,Zurich,Vulkanstrasse 106,"Zurich, Vulkanstrasse 106",Zurich Vulkanstrasse 106 SO 2002 2005 12 295 no Minergie 32 741 94.6 2.4 0.0 2.9 11.1 3.4 3.88/2.85,SO,2002,2005,Zurich Vulkanstrasse 106,32741,NA,NA,NA,NA,NA,NA,NA,11.1,3.4,3.88/2.85,12295,94.6,2.4,0,2.9,Zurich,Vulkanstrasse 106,"Vulkanstrasse 106, Zurich, Switzerland",47.3933306,8.4857768,NA
ALLN_C_016,ALLN,Allreal Holding AG,Commercial,2025-12-31,Zurich,Weststrasse 74,"Zurich, Weststrasse 74",Zurich Weststrasse 74 SO 1996 1995 1 482 no 3 274 22.5 7.8 55.3 14.4 0.9 0.3 3.63/2.60,SO,1996,1995,Zurich Weststrasse 74,3274,NA,NA,NA,NA,NA,NA,NA,0.9,0.3,3.63/2.60,1482,22.5,7.8,55.3,14.4,Zurich,Weststrasse 74,"Weststrasse 74, Zurich, Switzerland",47.3712144,8.5217722,NA
ALLN_C_017,ALLN,Allreal Holding AG,Commercial,2025-12-31,Zurich,Zollikerstrasse 183,"Zurich, Zollikerstrasse 183",Zurich Zollikerstrasse 183 SO 2008 1984 2024–2025 PR 3 371 no 2 776 81.8 0.0 0.0 18.2 1.1 0.0 4.28/3.25,SO,2008,1984,Zurich Zollikerstrasse 183,2776,NA,NA,NA,NA,NA,NA,NA,1.1,0,4.28/3.25,3371,81.8,0,0,18.2,Zurich,Zollikerstrasse 183,"Zollikerstrasse 183, Zurich, Switzerland",47.353082,8.5625419,NA
ALLN_C_018,ALLN,Allreal Holding AG,Commercial,2025-12-31,Zurich,Zollstrasse / Josefstrasse 23–29 / Klingenstrasse 4,"Zurich, Zollstrasse / Josefstrasse 23–29 / Klingenstrasse 4",Zurich Zollstrasse / Josefstrasse 23–29 / Klingenstrasse 4 SO 1993/2006 1997 2021 PR 4 201 no 11 586 45.3 11.8 27.6 15.3 4.5 1.0 3.68/2.65,SO,1993/2006,1997,Zurich Zollstrasse / Josefstrasse 23–29 / Klingenstrasse 4,11586,NA,NA,NA,NA,NA,NA,NA,4.5,1,3.68/2.65,4201,45.3,11.8,27.6,15.3,Zurich,Zollstrasse,"Zollstrasse, Zurich, Switzerland",47.3815861,8.5303381,NA
ALLN_C_019,ALLN,Allreal Holding AG,Commercial,2025-12-31,Adliswil,Soodmattenstrasse 2/4/68,"Adliswil, Soodmattenstrasse 2/4/68",Adliswil Soodmattenstrasse 2/4/68 SO 2017 1989/1990 2025 PR 14 791 no 23 995 75.9 5.2 1.0 18.0 5.3 0.0 4.43/3.40,SO,2017,1989/1990,Adliswil Soodmattenstrasse 2/4/68,23995,NA,NA,NA,NA,NA,NA,NA,5.3,0,4.43/3.40,14791,75.9,5.2,1,18,Adliswil,Soodmattenstrasse 2,"Soodmattenstrasse 2, Adliswil, Switzerland",47.3197312,8.5231118,NA
ALLN_C_020,ALLN,Allreal Holding AG,Commercial,2025-12-31,Dübendorf,Sonnentalstrasse 8,"Dübendorf, Sonnentalstrasse 8",Dübendorf Sonnentalstrasse 8 SO 2015 1974 2006 PR 16 621 no 26 006 25.9 1.6 0.0 72.5 2.7 0.0 4.59/3.55,SO,2015,1974,Dübendorf Sonnentalstrasse 8,26006,NA,NA,NA,NA,NA,NA,NA,2.7,0,4.59/3.55,16621,25.9,1.6,0,72.5,Dübendorf,Sonnentalstrasse 8,"Sonnentalstrasse 8, Dübendorf, Switzerland",47.3983882,8.602172,NA
ALLN_C_021,ALLN,Allreal Holding AG,Commercial,2025-12-31,Kloten,Schaffhauserstrasse 115/121,"Kloten, Schaffhauserstrasse 115/121",Kloten Schaffhauserstrasse 115/121 SO 2001 1992 2021 PR 4 000 no 4 265 67.7 4.0 0.0 28.3 1.0 20.5 4.54/3.50,SO,2001,1992,Kloten Schaffhauserstrasse 115/121,4265,NA,NA,NA,NA,NA,NA,NA,1,20.5,4.54/3.50,4000,67.7,4,0,28.3,Kloten,Schaffhauserstrasse 115,"Schaffhauserstrasse 115, Kloten, Switzerland",47.4499355,8.5816094,NA
ALLN_C_022,ALLN,Allreal Holding AG,Commercial,2025-12-31,Opfikon,Boulevard Lilienthal 2–8,"Opfikon, Boulevard Lilienthal 2–8",Opfikon Boulevard Lilienthal 2–8 SO 2007 2014 5 167 no Minergie 13 384 89.2 4.0 0.0 6.8 3.9 4.4 4.18/3.15,SO,2007,2014,Opfikon Boulevard Lilienthal 2–8,13384,NA,NA,NA,NA,NA,NA,NA,3.9,4.4,4.18/3.15,5167,89.2,4,0,6.8,Opfikon,Boulevard Lilienthal 2–8,"Boulevard Lilienthal 2–8, Opfikon, Switzerland",47.4210586,8.5596904,NA
ALLN_C_023,ALLN,Allreal Holding AG,Commercial,2025-12-31,Opfikon,Lindbergh-Allee 15,"Opfikon, Lindbergh-Allee 15",Opfikon Lindbergh-Allee 15 SO 1987 2007 5 241 no Minergie 13 581 87.4 4.0 0.0 8.6 3.8 0.6 4.14/3.11,SO,1987,2007,Opfikon Lindbergh-Allee 15,13581,NA,NA,NA,NA,NA,NA,NA,3.8,0.6,4.14/3.11,5241,87.4,4,0,8.6,Opfikon,Lindbergh-Allee 15,"Lindbergh-Allee 15, Opfikon, Switzerland",47.4237602,8.5629697,NA
ALLN_C_024,ALLN,Allreal Holding AG,Commercial,2025-12-31,Schlieren,Bernstrasse 55,"Schlieren, Bernstrasse 55",Schlieren Bernstrasse 55 SO 2003 2003 6 775 no 7 871 83.3 8.5 0.0 8.2 2.2 3.3 4.69/3.65,SO,2003,2003,Schlieren Bernstrasse 55,7871,NA,NA,NA,NA,NA,NA,NA,2.2,3.3,4.69/3.65,6775,83.3,8.5,0,8.2,Schlieren,Bernstrasse 55,"Bernstrasse 55, Schlieren, Switzerland",47.4016852,8.4412301,NA
ALLN_C_025,ALLN,Allreal Holding AG,Commercial,2025-12-31,Schlieren,Zürcherstrasse 104,"Schlieren, Zürcherstrasse 104",Schlieren Zürcherstrasse 104 SO 2002 1988 2012 TR 4 724 no 3 846 26.9 29.6 0.0 43.3 0.9 1.0 4.54/3.50,SO,2002,1988,Schlieren Zürcherstrasse 104,3846,NA,NA,NA,NA,NA,NA,NA,0.9,1,4.54/3.50,4724,26.9,29.6,0,43.3,Schlieren,Zürcherstrasse 104,"Zürcherstrasse 104, Schlieren, Switzerland",47.3969585,8.4620125,NA
ALLN_C_026,ALLN,Allreal Holding AG,Commercial,2025-12-31,Wallisellen,Bürogebäude Allianz6,"Wallisellen, Bürogebäude Allianz6",Wallisellen Bürogebäude Allianz6 SO 2002 2013 13 078 no Minergie 50 012 82.1 6.1 0.0 11.8 12.6 13.1 4.41/3.38,SO,2002,2013,Wallisellen Bürogebäude Allianz6,50012,NA,NA,NA,NA,NA,NA,NA,12.6,13.1,4.41/3.38,13078,82.1,6.1,0,11.8,Wallisellen,Bürogebäude Allianz6,"Bürogebäude Allianz6, Wallisellen, Switzerland",47.4100964,8.5952909,"Richtiplatz, Wallisellen, Switzerland"
ALLN_C_027,ALLN,Allreal Holding AG,Commercial,2025-12-31,Wallisellen,Bürogebäude Richtiring7,"Wallisellen, Bürogebäude Richtiring7",Wallisellen Bürogebäude Richtiring7 SO 2002 2014 16 875 no Minergie 26 173 78.2 14.0 0.0 7.8 8.0 17.0 4.33/3.30,SO,2002,2014,Wallisellen Bürogebäude Richtiring7,26173,NA,NA,NA,NA,NA,NA,NA,8,17,4.33/3.30,16875,78.2,14,0,7.8,Wallisellen,Bürogebäude Richtiring7,"Bürogebäude Richtiring7, Wallisellen, Switzerland",47.411145,8.5960445,"Richtiring, Wallisellen, Switzerland"
ALLN_C_028,ALLN,Allreal Holding AG,Commercial,2025-12-31,Wetzikon,Binzstrasse 32,"Wetzikon, Binzstrasse 32",Wetzikon Binzstrasse 32 SO 2020 2009 10 368 yes 16 235 52.1 0.0 0.0 47.9 3.1 0.0 4.18/3.15,SO,2020,2009,Wetzikon Binzstrasse 32,16235,NA,NA,NA,NA,NA,NA,NA,3.1,0,4.18/3.15,10368,52.1,0,0,47.9,Wetzikon,Binzstrasse 32,"Binzstrasse 32, Wetzikon, Switzerland",47.330463,8.8001166,NA
ALLN_C_029,ALLN,Allreal Holding AG,Commercial,2025-12-31,Winterthur,Schützenstrasse 1+3 / Zürcherstrasse 12+149,"Winterthur, Schützenstrasse 1+3 / Zürcherstrasse 12+149",Winterthur Schützenstrasse 1+3 / Zürcherstrasse 12+149 SO 2002 1928/53/86 2025 PR 18 386 no 24 995 78.1 0.0 0.0 21.9 5.6 1.4 3.99/2.96,SO,2002,1928/53/86,Winterthur Schützenstrasse 1+3 / Zürcherstrasse 12+149,24995,NA,NA,NA,NA,NA,NA,NA,5.6,1.4,3.99/2.96,18386,78.1,0,0,21.9,Winterthur,Schützenstrasse 1+3,"Schützenstrasse 1+3, Winterthur, Switzerland",47.5059775,8.7202222,NA
ALLN_C_030,ALLN,Allreal Holding AG,Commercial,2025-12-31,Aïre,Chemin de la Verseuse 3,"Aïre, Chemin de la Verseuse 3",Aïre Chemin de la Verseuse 3 SO 2021 1986 2019 PR 4 442 no 3 205 0.0 0.0 0.0 100.0 0.8 0.0 5.04/4.00,SO,2021,1986,Aïre Chemin de la Verseuse 3,3205,NA,NA,NA,NA,NA,NA,NA,0.8,0,5.04/4.00,4442,0,0,0,100,Aïre,Chemin de la Verseuse 3,"Chemin de la Verseuse 3, Aïre, Switzerland",46.1954262,6.0948738,NA
ALLN_C_031,ALLN,Allreal Holding AG,Commercial,2025-12-31,Le Grand-Saconnex,Route François-Peyrot 10–14,"Le Grand-Saconnex, Route François-Peyrot 10–14",Le Grand-Saconnex Route François-Peyrot 10–14 SO 2011 2004 8 442 no 5 343 92.0 0.0 0.0 8.0 2.6 30.9 4.64/3.60,SO,2011,2004,Le Grand-Saconnex Route François-Peyrot 10–14,5343,NA,NA,NA,NA,NA,NA,NA,2.6,30.9,4.64/3.60,8442,92,0,0,8,Le Grand-Saconnex,Route François-Peyrot 10–14,"Route François-Peyrot 10–14, Le Grand-Saconnex, Switzerland",46.2330984,6.1139627,NA
ALLN_C_032,ALLN,Allreal Holding AG,Commercial,2025-12-31,Nyon,Avenue Perdtemps 23,"Nyon, Avenue Perdtemps 23",Nyon Avenue Perdtemps 23 SO 2017 2006 6 451 no 12 569 76.8 5.5 0.0 17.7 4.1 12.3 4.69/3.65,SO,2017,2006,Nyon Avenue Perdtemps 23,12569,NA,NA,NA,NA,NA,NA,NA,4.1,12.3,4.69/3.65,6451,76.8,5.5,0,17.7,Nyon,Avenue Perdtemps 23,"Avenue Perdtemps 23, Nyon, Switzerland",46.3858487,6.2396342,NA
ALLN_C_033,ALLN,Allreal Holding AG,Commercial,2025-12-31,Petit-Lancy,Chemin des Olliquettes 4,"Petit-Lancy, Chemin des Olliquettes 4",Petit-Lancy Chemin des Olliquettes 4 SO 2008 2010 963 no Minergie 3 668 95.0 0.0 0.0 5.0 1.7 0.0 4.38/3.35,SO,2008,2010,Petit-Lancy Chemin des Olliquettes 4,3668,NA,NA,NA,NA,NA,NA,NA,1.7,0,4.38/3.35,963,95,0,0,5,Petit-Lancy,Chemin des Olliquettes 4,"Chemin des Olliquettes 4, Petit-Lancy, Switzerland",46.1877483,6.1154025,NA
ALLN_C_034,ALLN,Allreal Holding AG,Commercial,2025-12-31,Plan-les-Ouates,Route de Saint-Julien 198 (Ch. du Pré-Fleuri 15),"Plan-les-Ouates, Route de Saint-Julien 198 (Ch. du Pré-Fleuri 15)",Plan-les-Ouates Route de Saint-Julien 198 (Ch. du Pré-Fleuri 15) SO 2021 2018 2022 PR 11 271 no Minergie 10 005 53.2 10.6 0.0 36.2 2.2 0.0 4.33/3.30,SO,2021,2018,Plan-les-Ouates Route de Saint-Julien 198 (Ch. du Pré-Fleuri 15),10005,NA,NA,NA,NA,NA,NA,NA,2.2,0,4.33/3.30,11271,53.2,10.6,0,36.2,Plan-les-Ouates,Route de Saint-Julien 198,"Route de Saint-Julien 198, Plan-les-Ouates, Switzerland",46.1598451,6.099928,NA
ALLN_C_035,ALLN,Allreal Holding AG,Commercial,2025-12-31,Basel,Viaduktstrasse 40–44 / Binningerstrasse 35,"Basel, Viaduktstrasse 40–44 / Binningerstrasse 35",Basel Viaduktstrasse 40–44 / Binningerstrasse 35 SO 2009 1998 5 454 no 20 118 63.6 0.0 0.0 36.4 5.2 5.8 3.98/2.95,SO,2009,1998,Basel Viaduktstrasse 40–44 / Binningerstrasse 35,20118,NA,NA,NA,NA,NA,NA,NA,5.2,5.8,3.98/2.95,5454,63.6,0,0,36.4,Basel,Viaduktstrasse 40–44,"Viaduktstrasse 40–44, Basel, Switzerland",47.5497262,7.583272,NA
ALLN_C_036,ALLN,Allreal Holding AG,Commercial,2025-12-31,Bern,Freiburgstrasse 130,"Bern, Freiburgstrasse 130",Bern Freiburgstrasse 130 LO 2018 1999 2025 TR 7 323 no 18 486 87.5 2.9 0.0 9.6 2.3 37.6 4.59/3.55,LO,2018,1999,Bern Freiburgstrasse 130,18486,NA,NA,NA,NA,NA,NA,NA,2.3,37.6,4.59/3.55,7323,87.5,2.9,0,9.6,Bern,Freiburgstrasse 130,"Freiburgstrasse 130, Bern, Switzerland",46.9438083,7.4072005,NA
